date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2020-03-10, 15:05:36	1500 Hz	18 W	3,9E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:38	1500 Hz	18 W	3,9E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:40	1500 Hz	18 W	3,9E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:42	1500 Hz	17 W	3,9E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:44	1500 Hz	18 W	3,9E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:46	1500 Hz	18 W	3,9E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:48	1500 Hz	18 W	3,9E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:50	1500 Hz	18 W	3,9E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:52	1500 Hz	18 W	3,9E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:54	1500 Hz	18 W	3,9E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:56	1500 Hz	18 W	3,9E-4 mbar	3,5E-4 mbar
2020-03-10, 15:05:58	1500 Hz	18 W	3,9E-4 mbar	3,5E-4 mbar
2020-03-10, 15:06:00	1500 Hz	18 W	3,8E-4 mbar	3,5E-4 mbar
2020-03-10, 15:06:02	1500 Hz	18 W	3,9E-4 mbar	3,5E-4 mbar
2020-03-10, 15:06:04	1500 Hz	18 W	3,8E-4 mbar	3,5E-4 mbar
2020-03-10, 15:06:06	1500 Hz	18 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:06:08	1500 Hz	18 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:06:10	1500 Hz	18 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:06:12	1500 Hz	18 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:06:14	1500 Hz	18 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:06:16	1500 Hz	19 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:06:18	1500 Hz	18 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:06:20	1500 Hz	18 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:06:22	1500 Hz	18 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:06:24	1500 Hz	18 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:06:26	1500 Hz	18 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:06:28	1500 Hz	19 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:06:30	1500 Hz	18 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:06:32	1500 Hz	19 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:06:34	1500 Hz	18 W	3,8E-4 mbar	3,5E-4 mbar
2020-03-10, 15:06:36	1500 Hz	18 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:06:38	1500 Hz	18 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:06:40	1500 Hz	18 W	3,8E-4 mbar	3E-4 mbar
2020-03-10, 15:06:42	1500 Hz	19 W	3,8E-4 mbar	2,2E-3 mbar
2020-03-10, 15:06:44	1500 Hz	17 W	2,3E-2 mbar	2,4E-2 mbar
2020-03-10, 15:06:46	1500 Hz	16 W	5,5E-2 mbar	5,6E-2 mbar
2020-03-10, 15:06:48	1500 Hz	16 W	9E-2 mbar	8,8E-2 mbar
2020-03-10, 15:06:50	1500 Hz	16 W	1,2E-1 mbar	1,1E-1 mbar
2020-03-10, 15:06:52	1500 Hz	16 W	1,4E-1 mbar	1,4E-1 mbar
2020-03-10, 15:06:54	1500 Hz	16 W	1,7E-1 mbar	1,7E-1 mbar
2020-03-10, 15:06:56	1500 Hz	16 W	2E-1 mbar	2E-1 mbar
2020-03-10, 15:06:58	1500 Hz	16 W	2,4E-1 mbar	2,3E-1 mbar
2020-03-10, 15:07:00	1500 Hz	16 W	2,7E-1 mbar	2,6E-1 mbar
2020-03-10, 15:07:02	1500 Hz	16 W	3,1E-1 mbar	2,9E-1 mbar
2020-03-10, 15:07:04	1500 Hz	16 W	3,3E-1 mbar	3,2E-1 mbar
2020-03-10, 15:07:06	1500 Hz	16 W	3,5E-1 mbar	3,4E-1 mbar
2020-03-10, 15:07:08	1498 Hz	26 W	1,7E-2 mbar	1,6E-2 mbar
2020-03-10, 15:07:10	1500 Hz	23 W	1,8E-3 mbar	1,7E-3 mbar
2020-03-10, 15:07:12	1500 Hz	18 W	1E-3 mbar	8E-4 mbar
2020-03-10, 15:07:14	1500 Hz	18 W	1E-3 mbar	6E-4 mbar
2020-03-10, 15:07:16	1500 Hz	19 W	4,2E-4 mbar	5E-4 mbar
2020-03-10, 15:07:18	1500 Hz	19 W	4E-4 mbar	4E-4 mbar
2020-03-10, 15:07:20	1500 Hz	19 W	3,9E-4 mbar	4E-4 mbar
2020-03-10, 15:07:22	1500 Hz	19 W	3,9E-4 mbar	3E-4 mbar
2020-03-10, 15:07:24	1500 Hz	18 W	3,9E-4 mbar	3E-4 mbar
